Time,Device,B_hat,J_m,Best_Js,Target_MEC,J_d,p_L,p_U,p_0,Init_Mode,Final_Mode,Cost,Energy
1,2,-0.003000,7.416211e-08,6.080169e-08,4,2.000000e-08,2.494738e-01,1.000000e+00,1.310080e-03,3,3,2.000000e-03,0.000000e+00
1,4,-0.003000,7.416211e-08,6.100599e-08,2,2.000000e-08,1.988094e-01,1.000000e+00,2.032191e-03,3,3,2.000000e-03,0.000000e+00
1,5,-0.003000,7.416211e-08,6.083517e-08,1,2.000000e-08,2.394702e-01,1.000000e+00,1.420110e-03,3,3,2.000000e-03,0.000000e+00
1,6,-0.003000,7.416211e-08,6.083964e-08,1,2.000000e-08,2.381991e-01,1.000000e+00,1.435012e-03,3,3,2.000000e-03,0.000000e+00
1,7,-0.003000,7.416211e-08,6.081827e-08,6,2.000000e-08,2.444182e-01,1.000000e+00,1.364022e-03,3,3,2.000000e-03,0.000000e+00
1,8,-0.003000,7.416211e-08,6.073676e-08,4,2.000000e-08,2.714585e-01,1.000000e+00,1.108795e-03,3,3,2.000000e-03,0.000000e+00
1,9,-0.003000,7.416211e-08,6.066985e-08,7,2.000000e-08,2.985715e-01,1.000000e+00,9.199679e-04,3,3,2.000000e-03,0.000000e+00
1,10,-0.003000,7.416211e-08,6.065471e-08,3,2.000000e-08,3.054776e-01,1.000000e+00,8.800328e-04,3,3,2.000000e-03,0.000000e+00
2,1,-0.002982,7.380904e-08,6.062182e-08,2,2.000000e-08,2.051504e-01,1.000000e+00,1.923531e-03,3,3,2.000000e-03,0.000000e+00
2,2,-0.002970,7.355392e-08,6.015382e-08,3,2.000000e-08,2.624646e-01,1.000000e+00,1.194209e-03,3,3,2.000000e-03,0.000000e+00
2,4,-0.002985,7.385416e-08,6.061982e-08,8,2.000000e-08,2.155703e-01,1.000000e+00,1.749188e-03,3,3,2.000000e-03,0.000000e+00
2,7,-0.002975,7.367050e-08,6.032643e-08,3,2.000000e-08,2.444862e-01,1.000000e+00,1.371592e-03,3,3,2.000000e-03,0.000000e+00
2,9,-0.002967,7.349881e-08,5.999951e-08,3,2.000000e-08,3.017438e-01,1.000000e+00,9.092987e-04,3,3,2.000000e-03,0.000000e+00
2,10,-0.002955,7.326285e-08,5.980966e-08,8,2.000000e-08,2.821211e-01,1.000000e+00,1.039952e-03,3,3,2.000000e-03,0.000000e+00
3,1,-0.002959,7.333709e-08,5.991051e-08,3,2.000000e-08,2.719125e-01,1.000000e+00,1.116961e-03,3,3,2.000000e-03,0.000000e+00
3,3,-0.002977,7.369287e-08,6.029331e-08,7,2.000000e-08,2.622792e-01,1.000000e+00,1.193792e-03,3,3,2.000000e-03,0.000000e+00
3,4,-0.002954,7.324447e-08,6.014055e-08,8,2.000000e-08,1.890018e-01,1.000000e+00,2.254516e-03,3,3,2.000000e-03,0.000000e+00
